#K-Path      Energy-Level
# NKPTS & NBANDS: 400  96
# Band-Index    1
   0.00000    -21.531419
   0.00707    -21.531548
   0.01413    -21.531546
   0.02120    -21.531542
   0.02827    -21.531537
   0.03534    -21.531529
   0.04240    -21.531520
   0.04947    -21.531491
   0.05654    -21.531485
   0.06361    -21.531458
   0.07067    -21.531421
   0.07774    -21.531423
   0.08481    -21.531403
   0.09188    -21.531318
   0.09894    -21.531295
   0.10601    -21.531263
   0.11308    -21.531257
   0.12014    -21.531230
   0.12721    -21.531208
   0.13428    -21.531178
   0.14135    -21.531147
   0.14841    -21.531108
   0.15548    -21.531078
   0.16255    -21.531056
   0.16962    -21.531007
   0.17668    -21.530936
   0.18375    -21.530926
   0.19082    -21.530897
   0.19789    -21.530828
   0.20495    -21.530787
   0.21202    -21.530767
   0.21909    -21.530758
   0.22615    -21.530715
   0.23322    -21.530671
   0.24029    -21.530626
   0.24736    -21.530570
   0.25442    -21.530508
   0.26149    -21.530432
   0.26856    -21.530385
   0.27563    -21.530348
   0.28269    -21.530301
   0.28976    -21.530256
   0.29683    -21.530236
   0.30390    -21.530147
   0.31096    -21.530069
   0.31803    -21.530014
   0.32510    -21.529979
   0.33216    -21.529931
   0.33923    -21.529883
   0.34630    -21.529787
   0.35337    -21.529739
   0.36043    -21.529692
   0.36750    -21.529663
   0.37457    -21.529634
   0.38164    -21.529601
   0.38870    -21.529556
   0.39577    -21.529518
   0.40284    -21.529468
   0.40991    -21.529423
   0.41697    -21.529379
   0.42404    -21.529346
   0.43111    -21.529304
   0.43818    -21.529262
   0.44524    -21.529230
   0.45231    -21.529124
   0.45938    -21.529116
   0.46644    -21.529087
   0.47351    -21.529012
   0.48058    -21.528989
   0.48765    -21.528975
   0.49471    -21.528941
   0.50178    -21.528908
   0.50885    -21.528875
   0.51592    -21.528851
   0.52298    -21.528767
   0.53005    -21.528772
   0.53712    -21.528744
   0.54419    -21.528761
   0.55125    -21.528720
   0.55832    -21.528701
   0.56539    -21.528666
   0.57245    -21.528665
   0.57952    -21.528664
   0.58659    -21.528644
   0.59366    -21.528644
   0.60072    -21.528627
   0.60779    -21.528600
   0.61486    -21.528575
   0.62193    -21.528555
   0.62899    -21.528536
   0.63606    -21.528525
   0.64313    -21.528515
   0.65020    -21.528506
   0.65726    -21.528499
