#K-Path      Energy-Level
# NKPTS & NBANDS: 180  96
# Band-Index    1
   0.00000    -21.655215
   0.03630    -21.655188
   0.07260    -21.655154
   0.10890    -21.655097
   0.14519    -21.655067
   0.18149    -21.655047
   0.21779    -21.655050
   0.25409    -21.655011
   0.29039    -21.655088
   0.32669    -21.655046
   0.36299    -21.654964
   0.39929    -21.654939
   0.43558    -21.654876
   0.47188    -21.654850
   0.50818    -21.654800
   0.54448    -21.654710
   0.58078    -21.654653
   0.61708    -21.654643
   0.65338    -21.654707
   0.68968    -21.654749
   0.68968    -21.654749
   0.69014    -21.654749
   0.69061    -21.654749
   0.69107    -21.654749
   0.69154    -21.654749
   0.69201    -21.654749
   0.69247    -21.654749
   0.69294    -21.654749
   0.69341    -21.654767
   0.69387    -21.654767
   0.69434    -21.654767
   0.69481    -21.654767
   0.69527    -21.654767
   0.69574    -21.654767
   0.69621    -21.654767
   0.69667    -21.654767
   0.69714    -21.654767
   0.69761    -21.654767
   0.69807    -21.654767
   0.69854    -21.654767
   0.69854    -21.654767
   0.73578    -21.654723
   0.77302    -21.654739
   0.81026    -21.654774
   0.84750    -21.654762
   0.88475    -21.654853
   0.92199    -21.654907
   0.95923    -21.654940
   0.99647    -21.655007
   1.03371    -21.654952
   1.07095    -21.655067
   1.10819    -21.655067
   1.14543    -21.655132
   1.18267    -21.655194
   1.21991    -21.655129
   1.25715    -21.655022
   1.29440    -21.655114
   1.33164    -21.655166
   1.36888    -21.655238
   1.40612    -21.655215
   1.40612    -21.655215
   1.45111    -21.655153
   1.49611    -21.654974
   1.54110    -21.654692
   1.58609    -21.654414
   1.63109    -21.654071
   1.67608    -21.653607
   1.72108    -21.653003
   1.76607    -21.652414
   1.81106    -21.651832
   1.85606    -21.651193
   1.90105    -21.650644
   1.94604    -21.650121
   1.99104    -21.649605
   2.03603    -21.649156
   2.08103    -21.648795
   2.12602    -21.648501
   2.17101    -21.648283
   2.21601    -21.648156
   2.26100    -21.648143
   2.26100    -21.648143
   2.26147    -21.648143
   2.26193    -21.648143
   2.26240    -21.648143
   2.26287    -21.648143
   2.26333    -21.648143
   2.26380    -21.648143
   2.26427    -21.648143
   2.26473    -21.648143
   2.26520    -21.648143
   2.26567    -21.648111
   2.26613    -21.648111
   2.26660    -21.648111
   2.26707    -21.648111
   2.26753    -21.648111
   2.26800    -21.648111
   2.26847    -21.648113
   2.26893    -21.648113
   2.26940    -21.648113
   2.26987    -21.648113
   2.26987    -21.648113
   2.30617    -21.648130
   2.34246    -21.648191
   2.37876    -21.648194
   2.41506    -21.648231
   2.45136    -21.648122
   2.48766    -21.648139
   2.52396    -21.648175
   2.56026    -21.648145
   2.59655    -21.648003
   2.63285    -21.648059
   2.66915    -21.648111
   2.70545    -21.648086
   2.74175    -21.648078
   2.77805    -21.648082
   2.81435    -21.648128
   2.85065    -21.648157
   2.88694    -21.648173
   2.92324    -21.648088
   2.95954    -21.648108
   2.95954    -21.648108
   2.98479    -21.648158
   3.01004    -21.648302
   3.03529    -21.648558
   3.06054    -21.648831
   3.08579    -21.649217
   3.11104    -21.649667
   3.13629    -21.650237
   3.16154    -21.650853
   3.18679    -21.651434
   3.21204    -21.651998
   3.23729    -21.652532
   3.26254    -21.653091
   3.28779    -21.653557
   3.31304    -21.654038
   3.33829    -21.654473
   3.36354    -21.654770
   3.38879    -21.655038
   3.41404    -21.655161
   3.43929    -21.655215
   3.43929    -21.648054
   3.47565    -21.648080
   3.51201    -21.648235
   3.54838    -21.648475
   3.58474    -21.648767
   3.62110    -21.649154
   3.65746    -21.649633
   3.69382    -21.650133
   3.73019    -21.650706
